OBJECTID,TreeID,DataProvider,District,Street,AreaGroup,TreeType,PlantingYear,PlantingYear_txt,TrunkSize,TrunkSize_txt,TreeHeight,TreeHeight_txt,TreeCrownDiameter,TreeCrownDiameter_txt,TreeNumber
394217002,10196,magistrat,1,Parkring,"MA 28 - Straße, Grünanlage",Platanus x acerifolia (Ahornblättrige Platane),1925,"1925",219,219 cm,4,16-20 m,4,10-12 m,"2061"
394217003,10111,magistrat,1,Parkring,"MA 28 - Straße, Grünanlage",Platanus x acerifolia (Ahornblättrige Platane),1929,"1929",233,233 cm,4,16-20 m,6,16-18 m,"2058"
394216675,200458,magistrat,1,Schubertring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",27,27 cm,2,6-10 m,2,4-6 m,"1006"
394216766,11073,magistrat,1,Reichsratsstraße,"MA 28 - Straße, Grünanlage",Tilia platyphyllos var. vitifolia (Weinblättrige Sommerlinde),1983,"1983",96,96 cm,2,6-10 m,2,4-6 m,"2016"
394216792,11070,magistrat,1,Reichsratsstraße,"MA 28 - Straße, Grünanlage",Tilia platyphyllos var. vitifolia (Weinblättrige Sommerlinde),1974,"1974",111,111 cm,2,6-10 m,2,4-6 m,"2013"
394216794,11068,magistrat,1,Reichsratsstraße,"MA 28 - Straße, Grünanlage",Tilia platyphyllos var. vitifolia (Weinblättrige Sommerlinde),1980,"1980",98,98 cm,2,6-10 m,2,4-6 m,"2011"
394214323,347342,magistrat,2,"02., Manes-Sperber-Park, MA42",MA 42 - Parkanlage,Carpinus betulus 'Fastigiata' (Säulenhainbuche),0,nicht definiert,20,20 cm,1,0-5 m,1,0-3 m,"15"
394214034,301679,magistrat,2,"02., Vorkai - Schlagbrückenufer, MA42",MA 42 - Parkanlage,Platanus x acerifolia (Ahornblättrige Platane),1909,"1909",301,301 cm,4,16-20 m,5,13-15 m,"5"
394214213,213691,magistrat,2,"02., Manes-Sperber-Park, MA42",MA 42 - Parkanlage,Acer pseudoplatanus (Bergahorn),1970,"1970",142,142 cm,5,21-25 m,4,10-12 m,"19"
394214257,213690,magistrat,2,"02., Manes-Sperber-Park, MA42",MA 42 - Parkanlage,Acer platanoides 'Schwedleri' (Rotblättriger Spitzahorn),1980,"1980",117,117 cm,4,16-20 m,3,7-9 m,"18"
